gene_symbol	n_pair_gene_records	n_pair_definitions	n_phenotype_domains	pair_list	phenotype_domain_list	n_GeneA_records	n_GeneB_records	strict_positive_record_count	best_tissue_list	min_best_twas_p	min_best_twas_fdr
SLC22A4	3	3	1	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	asthma_lower_airway	0	3	3	Whole_Blood	4.3e-12	3.87e-11
SPRYD4	3	3	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	asthma_lower_airway;autoimmune_IBD	1	2	0	Small_Intestine_Terminal_Ileum	0.0203	0.0203
TBX1	3	3	1	NASAL_POLYPS_GCST90018883__H8_EUSTSALP;NASAL_POLYPS_GCST90018883__H8_MIDDLEMASTOID;NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE	ENT_infection	1	2	3	Prostate	9.5e-09	1.9e-08
WDR36	3	3	1	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	asthma_lower_airway	3	0	3	Adipose_Subcutaneous	2.75e-09	2.3375e-08
ANXA9	2	2	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	ENT_infection;asthma_lower_airway	1	1	2	Artery_Tibial	1.65e-06	9.900000000000002e-06
ARNT	2	2	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	ENT_infection;asthma_lower_airway	1	1	2	Whole_Blood	1.4e-08	9.8e-08
CERS2	2	2	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	ENT_infection;asthma_lower_airway	1	1	2	Testis	8.18e-06	5.726e-05
CTSK	2	2	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	ENT_infection;asthma_lower_airway	1	1	2	Artery_Aorta	3.24e-08	1.62e-07
ENSA	2	2	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	ENT_infection;asthma_lower_airway	1	1	2	Nerve_Tibial	5.24e-05	0.0001397333333333
FAM114A1	2	2	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS	asthma_lower_airway;atopic_allergic	0	2	2	Colon_Sigmoid	7.82e-18	3.128e-17
FAM63A	2	2	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	ENT_infection;asthma_lower_airway	1	1	2	Stomach	5.17e-06	1.034e-05
FOXP1	2	2	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	asthma_lower_airway	1	1	2	Colon_Sigmoid	0.00581	0.01494
GOLPH3L	2	2	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	ENT_infection;asthma_lower_airway	1	1	2	Muscle_Skeletal	0.000868	0.001736
HSD17B1	2	2	1	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	atopic_allergic	0	2	0	Liver	0.03133	0.0469949999999999
INSL6	2	2	1	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	0	2	2	Testis	0.00243	0.00567
IRF1	2	2	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	asthma_lower_airway	0	2	2	Skin_Sun_Exposed_Lower_leg	2e-11	3.277e-10
JAK2	2	2	1	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	0	2	2	Heart_Atrial_Appendage	9.44e-05	0.000472
KDM8	2	2	1	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	asthma_lower_airway	0	2	2	Colon_Sigmoid	0.00808	0.0188533333333333
NACA	2	2	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	asthma_lower_airway	1	1	2	Brain_Hippocampus	0.00567	0.0099225
NSMCE1	2	2	1	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	asthma_lower_airway	0	2	2	Heart_Atrial_Appendage	0.000745	0.00204875
SETDB1	2	2	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	ENT_infection;asthma_lower_airway	1	1	2	Esophagus_Muscularis	0.000353	0.0009413333333333
TLR1	2	2	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS	asthma_lower_airway;atopic_allergic	0	2	2	Brain_Caudate_basal_ganglia	7.410000000000001e-21	6.669000000000002e-20
TLR10	2	2	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS	asthma_lower_airway;atopic_allergic	0	2	2	Pituitary	2.58e-20	1.29e-19
TLR6	2	2	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS	asthma_lower_airway;atopic_allergic	0	2	2	Pituitary	3.0600000000000007e-21	3.06e-20
APOA2	1	1	1	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA	asthma_lower_airway	0	1	1	Whole_Blood	0.000985	0.002955
